pipeline-model-api                 Pipeline: Model API                                              1.3.2
pipeline-model-definition          Pipeline: Declarative                                            1.3.2
docker-commons                     Docker Commons Plugin                                            1.13
promoted-builds                    promoted builds plugin                                           3.2
build-name-setter                  build-name-setter                                                1.6.9
multiple-scms                      Multiple SCMs plugin                                             0.6
valgrind                           Valgrind Plug-in                                                 0.28
build-monitor-plugin               Build Monitor View                                               1.12+build.201809061734
dependency-check-jenkins-plugin    OWASP Dependency-Check Plugin                                    3.3.2
authentication-tokens              Authentication Tokens API Plugin                                 1.3
sitemonitor                        SiteMonitor Plugin                                               0.5
warnings                           Warnings Plug-in                                                 4.68
htmlpublisher                      HTML Publisher plugin                                            1.16
log-parser                         Log Parser Plugin                                                2.0
description-setter                 description setter plugin                                        1.10
publish-over                       Infrastructure plugin for Publish Over X                         0.22
Office-365-Connector               Office 365 Connector                                             4.5
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin                      4.5.5-3.0
command-launcher                   Command Agent Launcher Plugin                                    1.2
versioncolumn                      Versions Node Monitors plugin                                    2.0
file-leak-detector                 CloudBees File Leak Detector Plugin                              1.5
azure-commons                      Azure Commons Plugin                                             0.2.6 (0.2.7)
azure-credentials                  Azure Credentials                                                1.6.0
azure-vm-agents                    Azure VM Agents                                                  0.7.3
cloud-stats                        Cloud Statistics Plugin                                          0.19
