60.466: [GC [PSYoungGen: 2611216K->62338K(2644928K)] 3648877K->1130880K(5375616K), 0.0768750 secs] [Times: user=0.55 sys=0.07, real=0.08 secs] 
61.834: [GC [PSYoungGen: 2625026K->76580K(2639296K)] 3693568K->1175737K(5369984K), 0.0879400 secs] [Times: user=0.63 sys=0.05, real=0.09 secs] 
63.355: [GC [PSYoungGen: 2639268K->81654K(2633152K)] 3738425K->1210764K(5363840K), 0.0929520 secs] [Times: user=0.65 sys=0.07, real=0.10 secs] 
64.830: [GC [PSYoungGen: 2628470K->77382K(2624256K)] 3757580K->1235183K(5354944K), 0.0864360 secs] [Times: user=0.63 sys=0.05, real=0.08 secs] 
66.421: [GC [PSYoungGen: 2624198K->94714K(2591104K)] 3781999K->1290031K(5321792K), 0.1099670 secs] [Times: user=0.78 sys=0.07, real=0.11 secs] 
67.996: [GC [PSYoungGen: 2591098K->85990K(2582400K)] 3786415K->1312408K(5313088K), 0.0976230 secs] [Times: user=0.71 sys=0.05, real=0.10 secs] 
69.544: [GC [PSYoungGen: 2582374K->118182K(2587200K)] 3808792K->1374110K(5317888K), 0.1171050 secs] [Times: user=0.89 sys=0.03, real=0.12 secs] 
70.921: [GC [PSYoungGen: 2587046K->90182K(2599744K)] 3842974K->1376394K(5330432K), 0.0977020 secs] [Times: user=0.74 sys=0.04, real=0.09 secs] 
72.300: [GC [PSYoungGen: 2559046K->92970K(2599296K)] 3845258K->1409378K(5329984K), 0.0994430 secs] [Times: user=0.74 sys=0.04, real=0.09 secs] 
73.625: [GC [PSYoungGen: 2561706K->95366K(2564160K)] 3878114K->1441514K(5294848K), 0.1006670 secs] [Times: user=0.75 sys=0.05, real=0.10 secs] 
75.044: [GC [PSYoungGen: 2564102K->119238K(2580608K)] 3910250K->1496726K(5311296K), 0.1210190 secs] [Times: user=0.91 sys=0.05, real=0.12 secs] 
76.544: [GC [PSYoungGen: 2568134K->110938K(2559872K)] 3945622K->1519855K(5290560K), 0.1142680 secs] [Times: user=0.85 sys=0.06, real=0.11 secs] 
78.000: [GC [PSYoungGen: 2559834K->93206K(2589248K)] 3968751K->1532351K(5319936K), 0.1017670 secs] [Times: user=0.74 sys=0.05, real=0.11 secs] 
79.466: [GC [PSYoungGen: 2537494K->130966K(2575296K)] 3976639K->1600676K(5305984K), 0.1301250 secs] [Times: user=0.98 sys=0.04, real=0.13 secs] 
80.891: [GC [PSYoungGen: 2575254K->97014K(2582848K)] 4044964K->1596999K(5313536K), 0.1035740 secs] [Times: user=0.78 sys=0.05, real=0.11 secs] 
82.318: [GC [PSYoungGen: 2527926K->95758K(2526720K)] 4027911K->1626283K(5257408K), 0.1115910 secs] [Times: user=0.81 sys=0.04, real=0.11 secs] 
83.870: [GC [PSYoungGen: 2526670K->77716K(2576832K)] 4057195K->1638027K(5307520K), 0.0888910 secs] [Times: user=0.65 sys=0.05, real=0.09 secs] 
85.616: [GC [PSYoungGen: 2511124K->71154K(2574336K)] 4071435K->1662356K(5305024K), 0.0853950 secs] [Times: user=0.62 sys=0.06, real=0.08 secs] 
87.455: [GC [PSYoungGen: 2504562K->71952K(2587648K)] 4095764K->1694710K(5318336K), 0.0869160 secs] [Times: user=0.64 sys=0.05, real=0.08 secs] 
89.531: [GC [PSYoungGen: 2520272K->42066K(2585728K)] 4143030K->1696426K(5316416K), 0.0622330 secs] [Times: user=0.44 sys=0.05, real=0.07 secs] 
91.340: [GC [PSYoungGen: 2490386K->36084K(2585792K)] 4144746K->1723581K(5316480K), 0.0610920 secs] [Times: user=0.40 sys=0.07, real=0.06 secs] 
93.144: [GC [PSYoungGen: 2481652K->77940K(2523520K)] 4169149K->1797655K(5254208K), 0.0928800 secs] [Times: user=0.69 sys=0.04, real=0.09 secs] 
95.648: [GC [PSYoungGen: 2523508K->36000K(2582656K)] 4243223K->1787685K(5313344K), 0.0621420 secs] [Times: user=0.43 sys=0.04, real=0.06 secs] 
98.472: [GC [PSYoungGen: 2482464K->33952K(2584064K)] 4234149K->1819658K(5314752K), 0.0640610 secs] [Times: user=0.45 sys=0.05, real=0.07 secs] 
101.096: [GC [PSYoungGen: 2480416K->36944K(2591232K)] 4266122K->1856266K(5321920K), 0.0644390 secs] [Times: user=0.44 sys=0.06, real=0.06 secs] 
