time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2018-12-24T08:04:43.807000148Z,1316,Altiplano,null_Altiplano,Altiplano,0,1,12134,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2019-02-18T12:38:15.263000147Z,2383,Altiplano,Altiplano,Altiplano,1,0,208408,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-02-23T00:05:29.83300015Z,2472,Altiplano,Altiplano,Altiplano,1,0,229893,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-02-24T15:35:01.14400015Z,2506,Altiplano,Altiplano,Altiplano,1,0,215646,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-02-25T09:04:46.969000156Z,2521,Altiplano,Altiplano,Altiplano,1,0,210833,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-01T19:54:34.173000161Z,2600,Altiplano,Altiplano,Altiplano,1,0,214247,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-02T16:12:56.664000161Z,2615,Altiplano,Altiplano,Altiplano,1,0,211444,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-02T17:16:15.439000161Z,2616,Altiplano,Altiplano,Altiplano,1,0,216160,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-02T18:12:29.595000161Z,2617,Altiplano,Altiplano,Altiplano,1,0,218279,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-02T19:27:13.462000161Z,2618,Altiplano,Altiplano,Altiplano,1,0,208926,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-03T01:43:32.031000161Z,2623,Altiplano,Altiplano,Altiplano,1,0,208898,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
2019-03-03T06:06:42.001000161Z,2626,Altiplano,Altiplano,Altiplano,1,0,215435,1,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,0,Device Configuration
