
 num     #instances         #bytes  class name
 118:            71          26696  java.lang.Thread
 119:          1079          25896  org.codehaus.groovy.util.ManagedReference
 120:          1071          25704  sun.security.util.DerInputStream
 121:           320          25600  org.eclipse.jetty.server.HttpInputOverHTTP
 122:           320          25600  org.eclipse.jetty.server.Response
 123:           797          25504  java.util.Formatter
 124:          1590          25440  hudson.ExpressionFactory2$JellyJexlContext
 125:          1590          25440  hudson.ExpressionFactory2$JellyMap
 126:           795          25440  java.util.ArrayList$ArrayListSpliterator
 127:          1047          25128  [Lsun.security.x509.AVA;
 128:          1047          25128  sun.security.x509.AVA
 129:          1047          25128  sun.security.x509.RDN
 130:           783          25056  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 131:           346          24912  java.beans.PropertyDescriptor
 132:            29          24656  [Lorg.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry;
 133:           766          24512  org.codehaus.groovy.util.ReferenceType$WeakRef
 134:          1007          24168  org.xml.sax.helpers.AttributesImpl
 135:           993          23832  java.util.concurrent.Executors$RunnableAdapter
 136:           490          23520  sun.nio.cs.StreamEncoder
 137:           319          22968  org.acegisecurity.ui.savedrequest.SavedRequest
 138:           957          22968  org.eclipse.jetty.io.CyclicTimeout$Timeout
 139:          1432          22912  java.util.HashSet
 140:           954          22896  org.acegisecurity.ui.WebAuthenticationDetails
 141:           954          22896  org.apache.commons.beanutils.ConvertingWrapDynaBean
 142:           954          22896  org.apache.commons.beanutils.WrapDynaClass$CacheKey
 143:           476          22848  java.util.WeakHashMap
 144:           714          22848  net.java.sezpoz.impl.SerAnnotatedElement
 145:           911          21864  sun.reflect.generics.tree.SimpleClassTypeSignature
 146:           387          21672  java.lang.Package
 147:           898          21552  java.util.concurrent.CopyOnWriteArrayList
 148:           896          21504  java.util.concurrent.atomic.AtomicLong
 149:           336          21504  sun.nio.cs.SingleByte$Encoder
 150:           232          21360  [Z
 151:           662          21184  java.net.InetAddress$InetAddressHolder
 152:           659          21088  java.util.concurrent.atomic.LongAdder
 153:          1298          20768  java.net.InetSocketAddress
 154:           643          20576  java.net.Inet6Address
 155:           643          20576  java.net.Inet6Address$Inet6AddressHolder
 156:           318          20352  java.util.stream.ReferencePipeline$3
