INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.MetaClass$1.doDispatch(MetaClass.java:74)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:30)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:519)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.MetaClass$12.dispatch(MetaClass.java:318)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:519)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.MetaClass$6.doDispatch(MetaClass.java:180)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:30)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:519)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.invoke(Stapler.java:435)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.kohsuke.stapler.Stapler.service(Stapler.java:123)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:45)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.ServletConfiguration.execute(ServletConfiguration.java:249)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestDispatcher.forward(RequestDispatcher.java:335)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:378)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.util.PluginServletFilter$1.doFilter(PluginServletFilter.java:94)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.util.PluginServletFilter.doFilter(PluginServletFilter.java:86)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.FilterConfiguration.execute(FilterConfiguration.java:195)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:368)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.csrf.CrumbFilter.doFilter(CrumbFilter.java:47)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.FilterConfiguration.execute(FilterConfiguration.java:195)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:368)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.ChainedServletFilter$1.doFilter(ChainedServletFilter.java:84)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.UnwrapSecurityExceptionFilter.doFilter(UnwrapSecurityExceptionFilter.java:51)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.ChainedServletFilter$1.doFilter(ChainedServletFilter.java:87)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.acegisecurity.ui.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:166)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.ChainedServletFilter$1.doFilter(ChainedServletFilter.java:87)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at org.acegisecurity.providers.anonymous.AnonymousProcessingFilter.doFilter(AnonymousProcessingFilter.java:125)
INFO   | jvm 1    | 2010/02/08 14:17:27 | 	at hudson.security.ChainedServletFilter$1.doFilter(ChainedServletFilter.java:87)
