 num     #instances         #bytes  class name
 113:          1910          61120  java.util.regex.Pattern$Curly
 114:          1871          59872  org.kohsuke.stapler.MetaClass$3
 115:          1841          58912  org.jenkinsci.plugins.workflow.job.WorkflowRun$SCMCheckout
 116:          1217          58416  com.google.inject.internal.ConstructorBindingImpl
 117:          1779          56928  org.apache.commons.jexl.parser.ASTExpression
 118:          1750          56000  org.eclipse.jetty.servlet.ServletHandler$CachedChain
 119:          2281          54744  java.lang.Class$AnnotationData
 120:           755          54360  com.cloudbees.workflow.rest.external.AtomFlowNodeExt
 121:          1116          53568  com.google.common.cache.LocalCache$StrongWriteEntry
 122:           956          53536  java.lang.Package
 123:          3340          53440  org.apache.commons.jelly.expression.ConstantExpression
 124:          3303          52848  sun.reflect.generics.tree.ClassTypeSignature
 125:           721          51912  org.codehaus.groovy.ast.expr.MethodCallExpression
 126:          1057          50736  hudson.remoting.ExportTable$Entry
 127:          1260          50400  com.google.inject.internal.SingletonScope$1
 128:           694          49968  java.util.logging.Logger
 129:          1219          48760  com.google.inject.internal.MembersInjectorImpl
 130:          2379          48424  [Ljava.lang.reflect.Type;
 131:          1967          47208  org.codehaus.groovy.util.ManagedReference
 132:          1470          47040  org.codehaus.groovy.util.ReferenceType$WeakRef
 133:           142          46968  [F
 134:          2883          46128  hudson.ExpressionFactory2$JexlExpression
 135:           800          44800  java.lang.invoke.MemberName
 136:          1814          43536  org.kohsuke.stapler.Function$InstanceFunction
 137:          1348          43136  com.google.inject.Key
 138:          1339          42848  groovy.lang.MetaBeanProperty
 139:          1057          42280  hudson.remoting.ExportTable$CreatedAt
 140:           745          41720  sun.nio.cs.UTF_8$Encoder
 141:          2581          41296  org.apache.commons.jelly.impl.ScriptBlock
 142:          1715          41160  org.codehaus.groovy.runtime.callsite.AbstractCallSite
 143:          1026          41040  hudson.remoting.Command$Source
 144:          1024          40960  hudson.remoting.ExportTable$ReleasedAt
 145:          1271          40672  com.google.inject.spi.InjectionPoint
 146:          1263          40416  com.google.inject.spi.ElementSource
 147:          1260          40320  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
 148:           833          39984  htmlpublisher.HtmlPublisherTarget
 149:           553          39816  org.codehaus.groovy.ast.Parameter
 150:          2478          39648  java.util.jar.Attributes
 151:           824          39552  org.codehaus.groovy.antlr.GroovySourceAST
 152:           985          39400  jenkins.model.lazy.BuildReference$DefaultHolderFactory$SoftHolder
 153:           984          39360  com.google.common.util.concurrent.AbstractFuture$Sync
 154:           701          39256  org.codehaus.groovy.ast.expr.TupleExpression
 155:          1623          38952  com.google.common.collect.RegularImmutableMap$TerminalEntry
 156:          1217          38944  com.google.inject.internal.ConstructorBindingImpl$Factory
 157:          1217          38944  com.google.inject.internal.ConstructorInjector
 158:           102          38352  java.lang.Thread
 159:          2382          38112  java.util.concurrent.atomic.AtomicReferenceArray
 160:          1801          37344  [Lsun.reflect.generics.tree.FieldTypeSignature;
 161:          1546          37104  org.jenkinsci.plugins.workflow.actions.TimingAction
 162:           459          36720  org.kohsuke.stapler.jelly.CustomTagLibrary$1
 163:           415          36520  org.codehaus.groovy.ast.MethodNode
 164:          2277          36432  java.util.HashSet
 165:           455          36400  java.net.URI
 166:          1509          36216  sun.reflect.generics.factory.CoreReflectionFactory
 167:          1125          36000  java.util.LinkedList
 168:           189          35952  [Ljava.beans.MethodDescriptor;
 169:          1465          35160  java.util.regex.Pattern$BitClass
 170:          1456          34944  java.util.regex.Pattern$SliceI
 171:          1082          34624  com.google.inject.spi.Dependency
 172:           607          33992  org.codehaus.groovy.reflection.ClassInfo
 173:          2115          33840  java.util.TreeSet
 174:          1037          33184  java.util.logging.LogManager$LogNode
 175:          1374          32976  com.google.inject.TypeLiteral
 176:          1348          32352  com.google.common.base.Suppliers$MemoizingSupplier
 177:          1323          31752  java.util.regex.Pattern$5
 178:           396          31680  org.apache.commons.jelly.tags.core.CoreTagLibrary$3
 179:           391          31280  org.apache.commons.jelly.tags.core.CoreTagLibrary$1
 180:           951          30432  hudson.model.ParametersAction
 181:           949          30368  org.jenkinsci.plugins.workflow.job.WorkflowRun$1
 182:          1262          30288  com.google.inject.internal.ProvisionListenerStackCallback
 183:          1262          30280  [Lcom.google.inject.spi.ProvisionListener;
 184:          1261          30264  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
 185:          1260          30240  com.google.inject.internal.ConstructionContext
 186:          1260          30240  com.google.inject.internal.InternalFactoryToProviderAdapter
 187:          1260          30240  com.google.inject.internal.ProviderToInternalFactoryAdapter
 188:          1258          30192  hudson.ExtensionFinder$GuiceFinder$FaultTolerantScope$1
 189:          1258          30192  net.java.sezpoz.IndexItem$AnnotationProxy
 190:          1240          29760  org.codehaus.groovy.reflection.CachedField
 191:          1239          29736  java.util.LinkedList$Node
 192:           735          29400  sun.reflect.generics.repository.MethodRepository
 193:          1835          29360  com.cloudbees.workflow.rest.hal.Link
 194:          1217          29208  com.google.inject.internal.DefaultConstructionProxyFactory$1
 195:          1217          29208  com.google.inject.internal.cglib.reflect.$FastConstructor
 196:           607          29136  org.codehaus.groovy.reflection.ClassInfo$LazyCachedClassRef
 197:           607          29136  org.codehaus.groovy.reflection.ClassInfo$LazyClassLoaderRef
 198:           517          28952  com.thoughtworks.xstream.core.util.OrderRetainingMap
 199:          1203          28872  com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItem
 200:          1203          28872  java.util.regex.Pattern$Slice
